Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.0152 0.01508 9.30000 1.6306020021 2.5486605167    1.630  1.079  3.7987  3.718    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-13      0.00 7.378e-01 2.481e-01 2.492e-03 6.815e-04 6.198e-03 -1.000 1.413e-02 2.071 1.923 2.172 2.192 1.535
0.0152 0.01508 9.30000 1.6465144157 2.5497305393    1.646  1.103  3.7938  3.679    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-13      0.00 7.375e-01 2.484e-01 2.494e-03 6.821e-04 6.205e-03 -1.000 1.414e-02 2.013 1.864 2.124 2.145 1.465
0.0152 0.01508 9.30000 1.6500000954 2.5499615669    1.649  1.109  3.7930  3.670    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.32e-13      0.00 7.374e-01 2.485e-01 2.495e-03 6.822e-04 6.207e-03 -1.000 1.414e-02 1.996 1.848 2.109 2.130 1.446
0.0152 0.01508 9.30000 1.6546066999 2.5502653122    1.654  1.119  3.7921  3.658    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -3.38e-15      0.00 7.373e-01 2.485e-01 2.495e-03 6.825e-04 6.208e-03 -1.000 1.415e-02 1.973 1.825 2.088 2.109 1.421
0.0152 0.01508 9.30000 1.6588883400 2.5505461693    1.658  1.144  3.7953  3.647    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.16e-16      0.00 7.372e-01 2.486e-01 2.496e-03 6.827e-04 6.209e-03 -1.000 1.413e-02 1.909 1.760 2.016 2.036 1.364
0.0152 0.01508 9.30000 1.6623946428 2.5507745743    1.662  1.181  3.8017  3.636    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.58e-18      0.00 7.371e-01 2.487e-01 2.497e-03 6.829e-04 6.211e-03 -1.000 1.412e-02 1.817 1.667 1.909 1.929 1.287
0.0152 0.01508 9.30000 1.6632709503 2.5508315563    1.663  1.211  3.8082  3.632    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -3.97e-18      0.00 7.371e-01 2.488e-01 2.497e-03 6.830e-04 6.211e-03 -1.000 1.413e-02 1.743 1.592 1.821 1.840 1.229
0.0152 0.01508 9.30000 1.6636154652 2.5508539677    1.663  1.239  3.8143  3.630    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -3.17e-18      0.00 7.371e-01 2.488e-01 2.497e-03 6.830e-04 6.211e-03 -1.000 1.413e-02 1.673 1.523 1.740 1.758 1.175
0.0152 0.01508 9.30000 1.6637817621 2.5508646965    1.663  1.264  3.8201  3.628    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -2.9e-18      0.00 7.371e-01 2.488e-01 2.497e-03 6.831e-04 6.211e-03 -1.000 1.413e-02 1.611 1.460 1.667 1.684 1.126
0.0152 0.01508 9.30000 1.6639088392 2.5508730412    1.663  1.285  3.8255  3.628    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.72e-18      0.00 7.371e-01 2.488e-01 2.497e-03 6.831e-04 6.212e-03 -1.000 1.413e-02 1.558 1.407 1.604 1.620 1.086
0.0152 0.01508 9.30000 1.6639448404 2.5508754253    1.663  1.272  3.8238  3.634    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.58e-18      0.00 7.371e-01 2.488e-01 2.497e-03 6.831e-04 6.212e-03 -1.000 1.413e-02 1.589 1.439 1.639 1.655 1.113
0.0152 0.01508 9.30000 1.6640093327 2.5508794785    1.663  1.241  3.8179  3.642    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.32e-18      0.00 7.371e-01 2.488e-01 2.497e-03 6.831e-04 6.212e-03 -1.000 1.413e-02 1.667 1.517 1.728 1.745 1.178
0.0152 0.01508 9.30000 1.6640905142 2.5508847237    1.663  1.222  3.8098  3.628    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.13e-18      0.00 7.371e-01 2.488e-01 2.497e-03 6.831e-04 6.212e-03 -1.000 1.413e-02 1.714 1.564 1.790 1.808 1.205
0.0152 0.01508 9.30000 1.6642116308 2.5508925915    1.663  1.225  3.8007  3.589    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.99e-18      0.00 7.371e-01 2.488e-01 2.497e-03 6.831e-04 6.212e-03 -1.000 1.413e-02 1.708 1.557 1.802 1.822 1.176
0.0152 0.01508 9.30000 1.6644074917 2.5509054661    1.664  1.231  3.7913  3.545    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.78e-18      0.00 7.371e-01 2.488e-01 2.497e-03 6.831e-04 6.212e-03 -1.000 1.413e-02 1.692 1.542 1.806 1.828 1.138
0.0152 0.01508 9.30000 1.6647125483 2.5509252548    1.664  1.228  3.7819  3.510    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.42e-18      0.00 7.367e-01 2.492e-01 2.500e-03 6.839e-04 6.219e-03 -1.000 1.415e-02 1.699 1.552 1.836 1.859 1.125
0.0152 0.01508 9.30000 1.6651384830 2.5509526730    1.664  1.215  3.7722  3.485    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-18      0.00 7.349e-01 2.508e-01 2.513e-03 6.874e-04 6.250e-03 -1.000 1.423e-02 1.732 1.590 1.895 1.920 1.140
